playlist_id,track_ids
7614,3690005 2550706 1839528 2706752 112767
7692,3139217 2820855 2692619 2537327 338400
7816,639543 932946 1347178 2621594 1162917
8225,112767 2141167 2863395 3796108 2579225
8337,1156143 3423162 3615514 3167821 2465700
8369,1903689 3251559 920338 3515396 3842207
8446,1075617 3212294 2398951 1713684 73909
8559,1839142 2848029 152898 3670757 360800
8636,3794036 1074579 1563309 162658 306786
9344,2788956 1338735 2247568 1156133 3602562
9444,2802723 1748301 1647509 3007412 2529923
10050,1896558 1969864 3498036 3173841 3356950
10732,3030940 2290748 361834 2460756 2942830
11314,2488394 474023 2763511 1584204 2139856
12268,1307567 3173993 3202554 1347472 2291351
13164,1796561 1710782 2560339 1624238 3403041
13957,3826915 3431460 820620 703393 2399755
14097,2273953 1819065 2924915 3147559 399044
14632,908580 2136509 1368054 2866388 3381059
14952,2277865 1681780 2971212 2942161 3554487
15069,1347454 339073 1850854 2947198 3790646
15761,2393132 2207258 1648433 2086935 580155
15791,2839271 2537612 2368561 3067231 517902
16022,873543 3787893 2949623 3705881 1838607
16226,3831662 93304 1382508 1508465 2437501
16923,346639 3428451 2627946 1735018 3767985
17129,170416 677456 2692311 2651691 2621486
17136,675104 2989670 497483 3295771 3861322
18357,2609171 3687848 908549 2317663 3796108
19159,19153 3214500 1748173 2953488 3663970
20891,329539 3315468 110343 1758488 219962
21071,1758365 425567 889547 1935863 4730293
21754,1827750 1492886 4736 2587675 2538334
21877,557919 331672 2912 2730084 1344333
21974,1563309 2643006 2983178 2448296 2730881
23305,1321053 1580480 2840855 3876951 204966
24088,204966 2840855 3779477 1363985 4733003
24559,3715820 99354 1169207 290206 2272555
25084,551406 1791420 548500 1336495 2740911
26099,2695959 3502625 3718744 1805745 1282023
26600,3436058 2285229 1960679 3587228 2316821
27279,3458993 1717175 2034809 2231097 2834644
28189,2062243 1678184 126365 844672 1634949
28279,3344679 3046898 3867445 1724901 2763357
28747,1744414 1155313 1563309 1169111 3695273
29654,1102479 3534181 715066 2863395 330859
30913,1321053 477570 3876951 185169 2950530
33349,3195896 497986 2543104 3065019 14295
34111,3166665 295116 3607816 3702084 1927116
35043,2376487 2747293 2840855 477570 1363985
37720,2740759 3664926 619726 627898 1864195
38657,2693632 3356977 3597069 950613 23086
39453,2067955 1085284 3796108 1945976 1731010
39529,3862221 3588773 723392 2840855 1580480
39743,1558542 2190582 2547173 268524 2655526
39944,3705881 1896558 3197875 1969864 1286763
41269,3380825 2805517 81700 3779477 2120528
42100,2737599 1474830 879646 3847243 567422
42464,3431460 2618210 519961 2284910 1732003
43109,1678074 2178620 1253474 3463835 2789820
43179,1494923 210729 2801420 2663753 1871594
43404,194447 3066756 1028579 2882787 1079451
44880,3414685 3647082 1563309 3551006 2983164
45305,1871405 3472190 2681450 2010591 2548850
45369,845166 944946 203194 1699495 319005
45962,3705881 1218315 3794036 170846 1209729
47075,3203984 2393702 2801526 57317 511452
49457,2878218 676462 1488456 1209729 1214452
49552,3250478 2247257 690651 2368022 1132376
50749,2004676 3529490 2179403 408580 889547
51884,2473026 730221 1217975 2397954 900513
