playlist_id,track_ids
7614,3102263 2828149 2141167 2579225 112767
7692,2537327 2820855 3139217 522287 98850
7816,2762406 2542321 2621594 932946 639543
8225,2609171 2579225 3687848 2384104 2828149
8337,1156143 276186 2465700 656735 3189307
8369,1903689 3842207 3251559 920338 2478226
8446,2831855 2016804 1735740 1069197 2123754
8559,1321053 360800 1673164 2454612 3670757
8636,1563309 1807375 2146850 306786 1705891
9344,2788956 912887 1338735 3001581 776195
9444,2028017 3034536 3609618 2529923 1748301
10050,1896558 3498036 3173841 1969864 3356950
10732,3473132 258314 690649 3137064 3626648
11314,2789282 416373 2488394 474023 2260613
12268,2139910 372286 1062578 2918420 2830705
13164,872081 868781 1082490 1832159 2763511
13957,3826915 2618210 3431460 3144248 820620
14097,1819065 2273953 3147559 2924915 399044
14632,4741612 2136509 2553774 1395361 2565868
14952,1399714 3554487 2277865 471431 2971212
15069,820112 2528493 1347454 3790646 339073
15761,2393132 1326614 1648433 2086935 3148486
15791,2537612 2839271 3632584 517902 2368561
16022,873543 3287321 2004676 1070212 1559502
16226,1382508 1508465 2437501 768287 3831662
16923,2391664 655335 2967714 2777746 345990
17129,170416 677456 2089117 2621486 3583128
17136,2989670 1476700 2187917 3016906 3846669
18357,2609171 3687848 1227320 3796108 2863395
19159,3214500 1748173 19153 3663970 1748909
20891,329539 219962 3881942 1758488 2387148
21071,4730293 1242683 1758365 1316567 809091
21754,1492886 1827750 1517430 3550468 1705891
21877,2730084 331672 634184 3550139 1174456
21974,1563309 2730084 3779477 3705881 1363985
23305,204966 1580480 2840855 3876951 1321053
24088,204966 1321053 3779477 1363985 2840855
24559,845101 3715820 99354 2272555 1851141
25084,551406 2740911 357046 2609171 2285204
26099,3718744 1805745 1206505 3231607 1790404
26600,3436058 3588703 2744409 2285229 1576744
27279,3753954 2834644 163460 2813239 2057154
28189,1634949 270171 4571136 2062243 2720582
28279,3344679 3046898 2765702 1764697 2763357
28747,1157311 3687318 2683325 702700 1744414
29654,330859 1595978 2296151 2213787 727880
30913,1321053 3876951 3679249 1580480 462738
33349,2009725 2363964 698584 3195896 3851443
34111,3702084 654450 3459300 1927116 2696655
35043,1321053 1363985 2840855 662501 3876951
37720,2740759 518570 1864195 3664926 2221993
38657,3356977 2693632 23086 950613 3597069
39453,2067955 3780933 3303143 1731010 254108
39529,3862221 204966 723392 2285204 3588773
39743,3752712 2655526 1558542 2844791 2190582
39944,3705881 1817875 1363985 1286763 2730084
41269,1905980 2120528 2732418 270419 204966
42100,2737599 3847243 567422 1474830 515332
42464,338586 2618210 3144248 1732003 2173665
43109,3112752 3463835 2458181 1253474 1589079
43179,1494923 2801420 1762672 3144155 3373381
43404,3066756 1563309 1705891 2303972 194447
44880,3551006 3647082 3414685 1126801 1563309
45305,1871405 3472190 3029978 1776123 2681450
45369,2473509 1742530 2304391 3166665 1156143
45962,3705881 3794036 1218315 170846 1209729
47075,375456 192369 2801526 2393702 699499
49457,3705881 1074579 3794036 329422 1209729
49552,705950 3250478 232126 74403 205321
50749,2612321 3755548 3278307 1716480 3669507
51884,2473026 1217975 900513 2883137 2862442
52770,3212294 1769400 1133958 1678253 3283697
53201,3051566 684603 3184131 3076030 962932
53329,2923582 2013844 2952807 2123750 642571
53494,2932409 1121299 3169251 1707977 3361441
53716,1208146 3619889 2737320 1635000 2234674
54203,1075420 2074480 4462759 2280083 2135909
54519,1101374 2955950 1428186 1210503 3091446
54559,1495432 2740461 3506677 1457317 3796108
56286,3464076 2902714 726853 3846669 1363985
56379,3363185 1385101 654079 3012776 3393025
57288,1257981 1951129 2850091 1998696 159984
58156,861092 3194410 2551935 1570952 2801870
58199,160392 1439412 320204 180215 2264206
59501,956871 199159 2744910 1680321 1218137
59782,2883137 2793557 1193299 2609171 3752712
59844,1952325 1929035 307071 731584 3034298
60790,2787855 234836 2232169 3481279 3470374
61051,2740759 490893 627898 3664926 1061515
61627,329539 2378978 3621084 1034094 3171201
62002,992118 3091446 3764330 2215475 2403710
62133,3362357 2854834 2130175 3554227 2269485
63512,2020811 2444351 2400125 2891044 3310744
63840,345031 1166400 3618497 3357942 273247
64458,1400063 2804104 463619 2759766 1416826
64742,2254900 2236369 662501 232096 2856374
64946,1790628 232314 2829156 695698 500748
65078,2285993 3626099 2863395 2843492 2034557
65535,1966460 1735747 3196064 1237657 2127080
67149,1567315 917199 3225706 3682516 1255651
67850,2582983 601354 2790027 2825225 1920003
68290,276186 3166665 1321053 1887389 477570
68356,3288626 2612321 408068 3618497 1606741
68491,1205292 2863395 840796 1227320 2609171
68680,3187997 338407 279781 2798924 1819065
68692,568472 3451581 2367877 433429 619692
69141,2709713 3169704 324385 3251554 2828850
70468,3671801 3588711 2021807 2609171 3687848
70547,2018412 1914343 3166665 276186 1887389
70966,1213215 2547540 3230462 2800375 910613
71636,247779 276186 685159 1887389 2121373
72286,3495226 142509 1905779 813506 659561
72489,1040171 3596931 111413 2256137 3302985
72826,1321667 2316804 1239610 427692 1824407
73620,3768225 3428057 1373873 1264406 1432469
74942,2173595 1075325 2791079 814723 715226
75157,3775380 2664717 3530570 2572933 1258145
76557,1286763 204966 3779477 2730084 648387
76983,3000505 558379 2208924 1885462 619692
77604,3858603 416339 828916 1537412 2619787
78538,1531731 2965779 1959462 2834466 435295
79598,1255929 2702706 2157363 3840527 4842479
82837,641481 2640037 3325489 3851156 356035
82847,970234 204966 2712695 3613349 2926939
82848,833722 715559 1936005 2957740 622731
82849,1363985 2208463 221724 2214157 4474831
83866,2804104 1400063 2759766 463619 1081382
85451,2889314 104018 3422265 2514850 726383
85624,2931339 1421316 1866329 2815867 3875973
88181,3700757 539473 3602909 2622474 323975
91566,2533803 867525 2644874 2050609 113122
92044,3750122 2055431 471504 3018517 620375
94534,1982995 3121654 420879 870885 2711020
95067,2419222 1595978 2547173 2158999 1474611
95221,1736614 412280 2499319 3746459 4140
95397,2153004 609535 1425468 2127411 1524412
96538,1364799 565126 819533 522347 1652866
97534,1893921 954835 3005980 1999575 338406
