playlist_id,track_ids
7614,3690005 2706752 112767 1822189 2141167
7692,3139217 2537327 2820855 3021607 2692619
7816,639543 932946 2621594 1347178 1162917
8225,112767 2141167 1828345 2579225 3796108
8337,1156143 3423162 2465700 3615514 3167821
8369,1903689 3251559 3842207 920338 3515396
8446,2398951 3212294 1713684 73909 1253630
8559,1839142 2848029 152898 1275279 1321053
8636,3867738 3794036 1074579 1563309 306786
9344,2788956 1338735 3315754 1156133 3602562
9444,3276890 2802723 1647509 3007412 1748301
10050,1896558 1969864 3498036 3173841 3356950
10732,361834 2460756 866702 166299 2942830
11314,2488394 474023 1584204 2763511 2260613
12268,3843554 3173993 1307567 2291351 3202554
13164,2560339 872081 1796561 941031 2296337
13957,3826915 3431460 820620 2618210 2214012
14097,2924915 1819065 2273953 2101260 3147559
14632,908580 2136509 2733464 1368054 2866388
14952,2277865 1399714 3554487 2971212 2942161
15069,1347454 1850854 2947198 339073 3790646
15761,2393132 2207258 379754 1648433 2086935
15791,2537612 2839271 517902 2368561 1708079
16022,873543 2949623 3705881 2863395 1838607
16226,3831662 93304 1382508 1508465 2437501
16923,2627946 346639 2391664 3428451 1608873
17129,170416 677456 3583128 2575730 2651691
17136,675104 2989670 3861322 497483 1476700
18357,2609171 3687848 908549 3796108 2863395
19159,19153 3214500 1748173 3663970 2953488
20891,329539 3315468 219962 110343 1123270
21071,425567 1758365 889547 4730293 3734024
21754,1827750 1492886 4736 1705891 2587675
21877,331672 1071661 557919 2730084 647869
21974,1563309 2448296 1363985 2902714 2730881
23305,1321053 3876951 204966 1580480 2840855
24088,204966 2840855 3779477 3862221 4733003
24559,3715820 99354 290206 1169207 845101
25084,551406 1791420 2740911 1336495 357046
26099,3718744 2695959 1790404 3502625 1805745
26600,3436058 2285229 1960679 3587228 3588703
27279,2231097 2034809 1558272 3001811 3530577
28189,2062243 1678184 126365 844672 1634949
28279,3344679 3046898 1724901 3867445 2763357
28747,1155313 1744414 1563309 135928 1456947
29654,1102479 715066 2863395 3534181 330859
30913,1321053 477570 3876951 185169 94083
33349,455484 497986 3195896 1261800 3004950
34111,3166665 2567624 1943005 3702084 2696655
35043,2376487 477570 2840855 1363985 151738
37720,2740759 3664926 619726 627898 3367892
38657,2693632 3356977 3597069 950613 23086
