playlist_id,track_ids
7614,3764500 3102263 2706752 3470884 3690005
7692,2692619 338400 354173 3422265 2473777
7816,375335 639543 2621594 1162917 2955152
8225,2609171 3687848 2863395 3866410 2828149
8337,1156143 3167821 276186 3615514 3423162
8369,920338 3842207 1903689 3515396 3251559
8446,3502746 356651 1713684 424036 2831855
8559,360800 1321053 152898 2848029 3670757
8636,1563309 2967714 183353 306786 2981369
9344,3682838 222092 776195 96574 291800
9444,3007412 3609618 2802723 3034536 270171
10050,1896558 3498036 1969864 1709150 3173841
10732,3137064 166299 2172329 258314 1384759
11314,2488394 2763511 853925 2260613 1948110
12268,853925 694810 1629281 518561 2488394
13164,2763511 1082490 2488394 416373 1090795
13957,3826915 820620 3431460 3144248 2618210
14097,1819065 2273953 399044 279781 3147559
14632,2136509 2882303 2770411 1395361 2980951
14952,1399714 3554487 3126708 3751492 1218315
15069,339073 3790646 1347454 412567 904507
15761,2393132 2086935 3148486 580155 1282449
15791,2839271 2537612 2368561 74281 335101
16022,2949623 3705881 2524197 2788426 530573
16226,1382508 1508465 2437501 768287 3110354
16923,346639 1908969 1486319 2967714 3362164
17129,2651691 2692311 3583128 2575730 170416
17136,882266 497483 726853 2989670 2939524
18357,3687848 2609171 2863395 3796108 3202623
19159,3214500 1748173 2674473 3663970 3555361
20891,329539 219962 1758488 117733 3881942
21071,4730293 1758365 1242683 2826156 1316567
21754,1827750 2587675 3502572 1517430 2705249
21877,2730084 2038075 2817793 180404 2392628
21974,1563309 3705881 3779477 2730084 1074579
23305,1580480 2840855 1321053 3526178 204966
24088,204966 1321053 2863395 3779477 2840855
24559,919627 1874821 1851141 1037960 183353
25084,551406 2740911 357046 3066963 2609171
26099,1805745 2695959 2432393 3327082 2273947
26600,3436058 2285229 2744409 3588703 1576744
27279,2034809 2834644 1677847 2952807 1982914
28189,2062243 1634949 4571136 1678184 844672
28279,2926602 2995277 2141241 372307 3581576
28747,1744414 1169111 3039886 1909019 2607569
29654,2213787 330859 1102479 715066 1193297
30913,1321053 2950530 185169 2840855 2454612
