playlist_id,track_ids
7614,2828149 3764500 2706752 3102263 112767
7692,3139217 2820855 522287 2575778 2053699
7816,932946 2621594 2762406 2542321 639543
8225,2609171 3687848 2828149 2384104 2863395
8337,1156143 2465700 276186 3167821 3615514
8369,3842207 1903689 3251559 920338 3515396
8446,1713684 2831855 2398951 1253630 1075617
8559,1321053 2454612 360800 152898 2848029
8636,1563309 2146850 1807375 306786 2967714
9344,2788956 776195 912887 1338735 96574
9444,3034536 2529923 2028017 1409854 1647509
10050,1896558 3498036 1969864 3173841 1709150
10732,258314 3473132 3137064 690649 3626648
11314,2789282 416373 2488394 1297748 1462064
12268,2139910 1062578 2918420 694810 372286
13164,2763511 1082490 872081 941031 1796561
13957,3826915 3431460 820620 2618210 3144248
14097,1819065 2273953 399044 3147559 279781
14632,2136509 908580 2882303 2770411 3381059
14952,2277865 1399714 3554487 2971212 2942161
15069,339073 1347454 820112 2528493 3790646
15761,2393132 2086935 2207258 1648433 3148486
15791,2537612 2839271 3632584 2368561 74281
16022,873543 1780508 2898856 1871286 1838607
16226,1508465 3831662 1382508 93304 2437501
16923,2967714 1658845 346639 595174 2391664
17129,677456 170416 2621486 2089117 1185723
17136,2989670 1476700 3846669 3464076 726853
18357,2609171 3687848 1227320 3202623 2863395
19159,3214500 19153 1748173 2953488 328164
20891,329539 219962 1758488 3881942 117733
21071,4730293 1242683 1758365 1316567 2826156
21754,1492886 1827750 2587675 1517430 2538334
21877,331672 2730084 634184 3550139 647869
21974,1563309 3779477 3705881 2730084 1074579
23305,1580480 2840855 204966 1321053 3526178
24088,204966 1321053 3779477 2840855 2863395
24559,3715820 1851141 2272555 845101 166697
25084,551406 2740911 357046 1791420 3687848
26099,1805745 2695959 3036158 3066710 3502625
26600,3436058 3588703 2285229 2744409 2316821
27279,2834644 163460 2813239 2034809 2057154
28189,1634949 2062243 1678184 126365 4571136
28279,3046898 3344679 3867445 2763357 1764697
28747,1744414 3687318 1169111 1277715 1157311
29654,330859 2213787 715066 1102479 2158999
30913,1321053 2154375 3679249 1580480 2840855
33349,2009725 3195896 497986 2543104 2363964
34111,3702084 1927116 654450 1137294 2115566
35043,1321053 2840855 1363985 662501 201860
37720,2740759 1864195 627898 518570 1202138
38657,3356977 2693632 950613 3597069 23086
39453,2067955 3088096 3780933 1731010 2785193
39529,3862221 204966 723392 840796 3588773
39743,3752712 2655526 2844791 1558542 2190582
39944,3705881 1817875 1286763 1363985 3779477
