playlist_id,track_ids
7614,2706752 3764500 3690005 2909333 3216603
7692,1838087 2820855 1728094 1885535 98850
7816,2542321 2762406 3092405 2097922 1135244
8225,2579225 2141167 1295848 3687848 112767
8337,1156143 3189307 195273 1691152 1103972
8369,695011 3515396 3842207 1903689 920338
8446,1678356 3012568 3470676 3006617 1962205
8559,360800 2412292 3769833 172121 1673164
8636,2773152 1505991 1807375 3850477 2146850
9344,2788956 912887 3674375 1345790 3412271
9444,2028017 1255311 3034536 1409854 2529923
10050,2926556 1896558 3248888 1969864 3498036
10732,690649 3137064 3626648 479924 331207
11314,474023 309992 2789282 2832925 1462064
12268,2139910 192683 3669279 956921 2787770
13164,2863474 224140 820178 368331 872081
13957,2618210 3826915 3144248 2214012 2298216
14097,3147559 2924915 1819065 2273953 2148385
14632,2136509 233386 3416923 1395361 2980951
14952,1344212 556631 210710 852680 687106
15069,3790646 445531 1850854 387900 147215
15761,379754 1038127 1860509 2763387 2207258
15791,2537612 1109389 1082337 3007735 1922449
16022,2004676 335496 2524197 3158943 3148348
16226,1508465 93304 2086935 2437501 1382508
16923,1074020 932946 1346597 2388530 1658845
17129,170416 2089117 1185723 1764355 3147428
17136,1476700 3582951 2393702 2187917 2801526
18357,2609171 1527919 1702782 1227320 1297735
19159,2214966 2064957 1824043 247759 992226
20891,2214123 2589065 3873968 551965 329539
21071,4730293 1767784 3542344 2883169 809091
21754,1827750 2411261 1291378 2061257 3782567
21877,634184 331672 647869 3725346 2038075
21974,2401387 2730881 3049291 2730084 841522
23305,1109389 1580480 2840855 477570 3632584
24088,204966 1321053 2840855 2153004 3779477
24559,5007354 3688071 1851141 3702357 1367537
25084,2891321 1885468 1955136 524972 879546
26099,1805745 968637 3066710 2609968 1373307
26600,3436058 3588703 1950829 2744409 2316821
27279,2339244 3688192 3753954 2813239 2834644
28189,2062243 313752 1938155 384887 1255311
28279,2763357 3344679 1764697 2765702 3046898
28747,3687318 2627543 2949611 2032015 417893
29654,715066 3377453 3648081 330859 3124880
30913,2454612 926181 2407 185169 462738
33349,2009725 497986 3195896 515420 2543104
34111,844622 3746459 2994151 3702084 1223506
35043,3246229 3334539 201860 2741789 2565868
37720,2053557 3879861 220663 518570 2740759
38657,2693632 3016284 23086 3356977 2613158
39453,3762814 3048605 2924065 887440 3481218
39529,3750511 3036454 2555128 338400 3873293
39743,2844791 82238 84556 1591311 2044169
39944,1817875 89645 3705881 3795748 2302904
41269,270419 3542334 1905980 2732418 1945725
42100,2737599 3847243 515332 567422 3209730
42464,338586 4566093 2480767 351126 685159
43109,2178620 1678074 3112752 1887516 2789820
43179,2783062 3144155 2924065 2020566 3219042
43404,1705891 3066756 3051656 629144 3101626
44880,263046 1747164 2768093 3148348 830174
45305,1871405 1756796 2681450 3472190 3029978
45369,3076230 1822221 2304391 220135 1367298
45962,3705881 3794036 3542444 1218315 2989039
47075,375456 2801526 2989670 4632290 3604011
49457,554625 2566586 1769395 3098976 1241768
49552,3250478 232126 482532 3342846 1515124
50749,878034 3642788 3755548 3787893 1726040
51884,1362237 2584680 2033546 3416390 2837574
52770,1607128 1885680 2694786 3080802 1337279
53201,3801322 684603 3184131 820335 3051566
53329,2279726 1928325 2440092 372717 4559576
53494,1647071 3755605 1707977 2932409 1121299
53716,1218222 599473 3619889 3644194 2737320
54203,357664 2000684 154829 1075420 3034298
54519,3129861 1210503 2042142 2955950 1428186
54559,2863395 1495432 3435028 1457317 3168292
56286,3464076 2333150 2621486 2897521 1149176
56379,1069197 3823439 3393025 2711318 1140895
57288,2021833 1943921 2513662 2800102 641608
