playlist_id,track_ids
7614,3690005 112767 2828149 2550706 579526
7692,3139217 2537327 3021607 1885535 1728094
7816,639543 932946 2621594 1347178 2762406
8225,1828345 2296337 112767 2141167 2579225
8337,1156143 3423162 2465700 3615514 3167821
8369,1903689 3251559 3515396 3842207 920338
8446,2398951 3212294 1713684 1253630 2664804
8559,1839142 2848029 152898 3670757 360800
8636,3867738 2044251 2146850 3794036 1074579
9344,1338735 2788956 3315754 1156133 3602562
9444,3276890 3609618 873738 2277431 2671238
10050,1896558 1969864 2943535 2868379 2563545
10732,361834 2460756 866702 2830580 2428859
11314,2139856 42601 1297748 2789282 1884424
12268,3843554 1307567 2154309 3494733 3530430
13164,2560339 941031 2296337 557937 1858791
13957,3826915 3431460 820620 703393 2399755
14097,2924915 2101260 3876337 1819065 2273953
14632,908580 2733464 2136509 3381059 3416923
14952,2277865 3554487 1399714 2971212 2942161
15069,1347454 1850854 2947198 339073 820112
15761,2393132 379754 443283 2207258 1648433
15791,2537612 1109389 1922449 2839271 3007735
16022,873543 1903926 1217248 2004676 3287321
16226,3831662 93304 1382508 1508465 2437501
16923,2627946 346639 2391664 1608873 2984072
17129,170416 677456 2575730 3583128 3236173
17136,3803684 2942222 3295771 3579937 1082802
18357,193856 1999723 3007406 2609171 135616
19159,3214500 1748173 19153 3663970 2214966
20891,2214123 329539 3315468 110343 1758488
21071,425567 3734024 1751627 1758365 4730293
21754,1492886 1827750 4736 3056591 2657409
21877,1071661 331672 557919 2730084 647869
21974,1547224 3621261 4675934 1563309 2158291
23305,1101403 204966 2133843 1580480 2840855
24088,208058 204966 2840855 3779477 2110739
24559,290206 99354 1169207 3715820 845101
25084,1791420 1336495 2028007 963948 551406
26099,3718744 1790404 2695959 3066606 3502625
26600,3436058 2285229 1960679 2316821 3587228
27279,2231097 3001811 1558272 2034809 3530577
28189,2062243 1678184 126365 844672 1634949
28279,1724901 3046898 3344679 2765702 1764697
28747,1155313 1456947 135928 1157311 2674052
29654,1193297 330859 2213787 1102479 2493461
30913,1321053 3876951 2950530 185169 2610018
33349,455484 2009725 3195896 497986 698584
34111,2696655 1943005 3076235 2567624 3702084
35043,2376487 1431813 2921284 2747293 220108
37720,2740759 82005 3879861 2053557 220663
38657,2693632 3356977 3597069 950613 23086
39453,1085284 1964803 2067955 1731010 3780933
39529,3862221 3182076 3339261 3588773 723392
39743,1558542 2190582 2844791 82238 2547173
39944,1286763 3803540 1896558 2277431 3197875
41269,3380825 2805517 81700 2120528 1867423
42100,2737599 3847243 1474830 879646 567422
42464,338586 2487066 1756337 2618210 1732003
43109,1253474 3463835 3690580 3302988 2178620
43179,1494923 210729 2935507 1871594 397851
43404,194447 3066756 1079451 1028579 2882787
44880,3647082 3551006 1126801 3779365 2607833
45305,1871405 3873337 3472190 1569542 2681450
45369,944946 203194 845166 2473509 947641
45962,3705881 1218315 3794036 170846 1209729
47075,3203984 511452 57317 1082946 170732
49457,2878218 1209729 1488456 2895021 2534480
49552,705950 3250478 3112107 1918321 690651
50749,1699264 2004676 3529490 878034 2476471
51884,2473026 730221 900513 1217975 2397954
52770,3212294 3283697 1678253 1133958 136589
53201,3051566 3076030 684603 3184131 962932
53329,1935218 3030317 2501973 2260616 4559576
53494,2017131 3557465 3361441 2805031 3265306
53716,1208146 3249383 2234674 2339602 3619889
54203,2000684 1075420 4462759 2101260 390563
54519,1210503 1815957 2955950 1251879 3050330
54559,2740461 3506677 1495432 3435028 1738845
56286,3464076 3494239 2651848 2661004 724602
56379,3012776 3363185 2357328 2255796 1998382
57288,1257981 2795926 2096037 159984 1951129
58156,885919 1109267 3293912 1694404 2640113
58199,1505976 3362275 1439412 160392 7217
59501,2744910 199159 1680321 1218137 2634922
59782,3795791 2004959 2862442 3147428 2793557
59844,731584 3034298 3340745 3092997 307071
60790,2334122 2787855 3481279 234836 2232169
61051,500735 1918400 345995 3142792 2593927
61627,453894 2184638 153371 892726 3157523
62002,992118 2971212 2942161 388976 2403710
62133,3554227 1233347 3001344 2269485 3431417
63512,2891044 3310744 1734325 2020811 2444351
63840,3698751 2139910 58119 868728 1532492
64458,1998388 1812222 1515245 2543177 1320670
64742,2254900 2236369 2856374 232096 1464684
64946,1790628 2444429 1690762 1144958 158319
65078,1455989 119305 1742595 2317663 3138311
65535,1966460 1438879 3512125 1735747 3859317
67149,2949174 1567247 1567315 190241 3225706
67850,2486480 601354 1996209 2825225 3335577
68290,2185578 2644767 1202189 276186 477570
68356,3288626 2061257 3175474 1992169 2894928
68491,1205292 3621084 2699633 1227320 1517259
68680,3187997 338407 2798924 2528434 3032990
68692,624087 619692 1885462 568472 2367877
69141,169685 3068350 2828850 164047 3251554
